probe;scans;detectors;opening;RMSE;time
Shepp_logan;90;180;180;45.579448954041126;54.91251993179321
Shepp_logan;180;180;180;40.92863474360466;103.61107277870178
Shepp_logan;270;180;180;37.834620299835535;161.50043940544128
Shepp_logan;360;180;180;36.23309546313308;207.306227684021
Shepp_logan;450;180;180;34.64320708731535;255.80560040473938
Shepp_logan;540;180;180;33.57749382409232;306.92549991607666
Shepp_logan;630;180;180;32.97003965341291;356.99636006355286
Shepp_logan;720;180;180;32.260778429817314;409.14423727989197
Shepp_logan;180;90;180;45.677788898697926;54.24667310714722
Shepp_logan;180;180;180;40.92863474360466;104.15887594223022
Shepp_logan;180;270;180;40.371197240924744;152.8611786365509
Shepp_logan;180;360;180;42.69361173517743;203.96304202079773
Shepp_logan;180;450;180;46.82850837741512;252.61973762512207
Shepp_logan;180;540;180;49.991822775696484;301.5481584072113
Shepp_logan;180;630;180;52.74154790626946;350.8054404258728
Shepp_logan;180;720;180;54.814890497291906;402.1225264072418
Shepp_logan;180;180;45;61.37557379460202;117.20308232307434
Shepp_logan;180;180;90;55.10642890637216;114.19420552253723
Shepp_logan;180;180;135;45.65147111701221;109.82000994682312
Shepp_logan;180;180;180;40.92863474360466;103.02250909805298
Shepp_logan;180;180;225;42.20060864276297;93.36577320098877
Shepp_logan;180;180;270;43.29765555353777;83.59593439102173
