probe;scans;detectors;opening;RMSE;time
CT_ScoutView;90;180;180;40.70214642864855;53.85630512237549
CT_ScoutView;180;180;180;36.62328227930214;105.39969968795776
CT_ScoutView;270;180;180;34.268097087923394;157.27623653411865
CT_ScoutView;360;180;180;32.85436261847742;209.00264883041382
CT_ScoutView;450;180;180;31.913594494176106;262.49274468421936
CT_ScoutView;540;180;180;31.254829527378828;313.54851484298706
CT_ScoutView;630;180;180;30.56419066451069;364.22792649269104
CT_ScoutView;720;180;180;30.106660976538898;425.4503676891327
CT_ScoutView;180;90;180;37.85822657175559;55.13866996765137
CT_ScoutView;180;180;180;36.62328227930214;105.30654764175415
CT_ScoutView;180;270;180;38.081805239115;157.28724694252014
CT_ScoutView;180;360;180;40.51406978332812;208.209890127182
CT_ScoutView;180;450;180;42.80877972493075;260.882205247879
CT_ScoutView;180;540;180;44.22987187719497;309.5747175216675
CT_ScoutView;180;630;180;45.452665022360826;360.42529344558716
CT_ScoutView;180;720;180;46.258175217079874;410.19383430480957
CT_ScoutView;180;180;45;34.316387724260274;119.61525988578796
CT_ScoutView;180;180;90;40.33100854071494;116.53331732749939
CT_ScoutView;180;180;135;37.64797198065305;112.38335347175598
CT_ScoutView;180;180;180;36.62328227930214;104.6119294166565
CT_ScoutView;180;180;225;37.0852541823551;95.06879448890686
CT_ScoutView;180;180;270;37.46862636160794;85.4556303024292
