probe;scans;detectors;opening;RMSE;time
CT_ScoutView_large;90;180;180;37.43204631612976;82.01934862136841
CT_ScoutView_large;180;180;180;33.671918130214955;156.55454683303833
CT_ScoutView_large;270;180;180;31.14330986180509;221.21231126785278
CT_ScoutView_large;360;180;180;28.89165049984891;293.7966470718384
CT_ScoutView_large;450;180;180;27.845934194177687;376.90136766433716
CT_ScoutView_large;540;180;180;26.931520972690834;422.03845834732056
CT_ScoutView_large;630;180;180;26.14656860808166;513.2838327884674
CT_ScoutView_large;720;180;180;25.789724369692692;722.436803817749
CT_ScoutView_large;180;90;180;34.670702861213215;95.51587986946106
CT_ScoutView_large;180;180;180;33.671918130214955;139.93830227851868
CT_ScoutView_large;180;270;180;34.15900777677034;204.6685073375702
CT_ScoutView_large;180;360;180;35.11531844517902;270.8745391368866
CT_ScoutView_large;180;450;180;36.43784807842394;333.491872549057
CT_ScoutView_large;180;540;180;37.38137018830254;395.3445460796356
CT_ScoutView_large;180;630;180;38.272501882231126;461.77117919921875
CT_ScoutView_large;180;720;180;38.8791481329053;525.6971826553345
CT_ScoutView_large;180;180;45;35.02602091932291;153.12352561950684
CT_ScoutView_large;180;180;90;34.50641587133508;151.0062611103058
CT_ScoutView_large;180;180;135;33.29633674249729;146.02149772644043
CT_ScoutView_large;180;180;180;33.671918130214955;135.78971195220947
CT_ScoutView_large;180;180;225;33.13778513879015;122.83733868598938
CT_ScoutView_large;180;180;270;34.141756945703136;109.87435173988342
