probe;scans;detectors;opening;RMSE;time
Kwadraty2;90;180;180;50.98106002669337;25.23910927772522
Kwadraty2;180;180;180;45.619677349582766;50.01077198982239
Kwadraty2;270;180;180;44.86296665906365;72.98271536827087
Kwadraty2;360;180;180;42.0194640900285;96.60529947280884
Kwadraty2;450;180;180;42.015126405816055;120.1369960308075
Kwadraty2;540;180;180;42.019276630627495;144.83835554122925
Kwadraty2;630;180;180;41.62323876143373;168.17164492607117
Kwadraty2;720;180;180;41.31767567044593;191.44988131523132
Kwadraty2;180;90;180;49.4179317490409;24.422328233718872
Kwadraty2;180;180;180;45.619677349582766;47.92177653312683
Kwadraty2;180;270;180;48.832269476888484;72.24400997161865
Kwadraty2;180;360;180;52.493068273790925;96.18588066101074
Kwadraty2;180;450;180;54.50746400761305;120.33695101737976
Kwadraty2;180;540;180;55.639955915526066;143.94950652122498
Kwadraty2;180;630;180;56.24865293043661;167.03255653381348
Kwadraty2;180;720;180;56.659978015561904;190.0995910167694
Kwadraty2;180;180;45;62.909172180999946;53.70630145072937
Kwadraty2;180;180;90;50.087695582911614;53.01464104652405
Kwadraty2;180;180;135;47.838644940121696;50.8846070766449
Kwadraty2;180;180;180;45.619677349582766;49.03984498977661
Kwadraty2;180;180;225;46.2297357745079;44.062089920043945
Kwadraty2;180;180;270;48.734944353728615;40.09429979324341
